date_sourced,uri,date_published
2022-01-22,nyt://article/24585b8f-1fb9-5e70-9200-b60502db0d2a,2022-01-20
2022-01-22,nyt://article/8d8cc31e-a9cb-5cea-959c-1e4eca98c64e,2022-01-21
2022-01-22,nyt://article/68ecb29a-f4f6-5892-820e-29d4c2e9030a,2022-01-21
2022-01-22,nyt://article/21c9cfce-954e-5b86-9d4d-fed665017d26,2022-01-21
2022-01-22,nyt://article/624e273f-cddc-5945-988b-f067663ee5dd,2022-01-19
2022-01-22,nyt://article/2e67ed28-ea81-5293-8440-4227dde42760,2022-01-21
2022-01-22,nyt://article/415c107b-0bfb-5c80-9c05-1c718717a644,2022-01-20
2022-01-22,nyt://article/0b2db74a-34d3-5cd4-88d6-f15fb28295d0,2022-01-21
2022-01-22,nyt://article/94c88ad2-2efd-583d-92cd-7476f3d141f8,2022-01-20
2022-01-22,nyt://article/927be4cf-583f-5dbd-a4cf-5ed9c5467f5a,2022-01-20
2022-01-22,nyt://article/7b20d73c-0f99-5ab4-a035-c822c35abc21,2022-01-21
2022-01-22,nyt://article/f4860ac3-9fe0-5734-bba4-53aace828a29,2022-01-20
2022-01-22,nyt://article/777cb627-ca2f-590f-a19e-9000e7180cb4,2022-01-21
2022-01-22,nyt://article/c4504f38-32ea-52b7-9289-2bb89fe54f4a,2022-01-21
2022-01-22,nyt://article/51196566-b361-5055-94ed-fd4ae6c14e76,2022-01-21
2022-01-22,nyt://article/d63afb07-aa86-5ff6-8691-f31f80c0d41f,2022-01-20
2022-01-22,nyt://article/12daf159-c172-55eb-a24f-f7e50ffb64e7,2022-01-20
2022-01-22,nyt://article/72396da0-209a-5e54-a3d1-fdc37fd6b525,2022-01-20
2022-01-22,nyt://article/0a98ba7a-5ba5-5401-9b8f-bd1b03feb75b,2022-01-21
2022-01-22,nyt://article/0e834e61-c4bb-5bb0-9c1d-b33866311545,2022-01-21
