date_sourced,uri,date_published
2022-01-23,nyt://article/3eccdec5-ea80-5a74-bdc9-985572830150,2022-01-22
2022-01-23,nyt://article/0c3ea255-6ab4-5e8c-9d45-bb8d65c54ab2,2022-01-22
2022-01-23,nyt://article/8d8cc31e-a9cb-5cea-959c-1e4eca98c64e,2022-01-21
2022-01-23,nyt://article/50781478-3ce3-5c57-85de-87199da4d9d4,2022-01-21
2022-01-23,nyt://article/7b20d73c-0f99-5ab4-a035-c822c35abc21,2022-01-21
2022-01-23,nyt://legacycollection/71377062-70eb-512b-8a4b-b8040244b59c,2022-01-22
2022-01-23,nyt://article/624e273f-cddc-5945-988b-f067663ee5dd,2022-01-19
2022-01-23,nyt://article/c4504f38-32ea-52b7-9289-2bb89fe54f4a,2022-01-21
2022-01-23,nyt://article/0b2db74a-34d3-5cd4-88d6-f15fb28295d0,2022-01-21
2022-01-23,nyt://article/b0f6c884-e948-5eec-b97d-5fa5de3f11a7,2022-01-20
2022-01-23,nyt://article/24585b8f-1fb9-5e70-9200-b60502db0d2a,2022-01-20
2022-01-23,nyt://article/777cb627-ca2f-590f-a19e-9000e7180cb4,2022-01-21
2022-01-23,nyt://article/0fa78f9f-9f69-5ded-b623-62ec1d679b4c,2022-01-22
2022-01-23,nyt://article/2e67ed28-ea81-5293-8440-4227dde42760,2022-01-21
2022-01-23,nyt://article/21c9cfce-954e-5b86-9d4d-fed665017d26,2022-01-21
2022-01-23,nyt://article/0a98ba7a-5ba5-5401-9b8f-bd1b03feb75b,2022-01-21
2022-01-23,nyt://article/d63afb07-aa86-5ff6-8691-f31f80c0d41f,2022-01-20
2022-01-23,nyt://article/0e834e61-c4bb-5bb0-9c1d-b33866311545,2022-01-21
2022-01-23,nyt://article/0f66be47-ffbb-5f0e-9474-bbbd3556bd61,2022-01-21
2022-01-23,nyt://article/45c3b1cb-88df-506d-85ab-bb630888c4a0,2022-01-21
