date_sourced,uri,date_published
2022-01-19,nyt://article/9f6fed60-066e-50ac-ace5-a68cc3500929,2022-01-18
2022-01-19,nyt://article/7462286c-fefb-58f9-a893-f848add06c79,2022-01-17
2022-01-19,nyt://article/ff8f11d8-bd96-5c01-80a1-b797c362cde3,2022-01-19
2022-01-19,nyt://article/c1843c97-a353-5ae9-9798-7610abffe308,2022-01-17
2022-01-19,nyt://article/c52eda4d-59d9-5db8-a1bd-9286203fde1a,2022-01-18
2022-01-19,nyt://article/f804a2dd-fbd8-57ae-af9a-3a4e25c07fbd,2022-01-17
2022-01-19,nyt://article/3a8e5316-8584-5cfa-a740-d0986f7788df,2022-01-18
2022-01-19,nyt://article/fefd2ada-1e95-5285-9cb9-f6f1bc2584c0,2022-01-18
2022-01-19,nyt://article/f68a0d2d-93ca-5a69-a12d-537080881b5a,2022-01-17
2022-01-19,nyt://article/0723338f-7b90-5b4a-8c9d-2f2d67d54ee2,2022-01-18
2022-01-19,nyt://article/5c7dc11a-28fa-5dc2-8c8f-4d31c7572937,2022-01-17
2022-01-19,nyt://article/348f0e5c-6e4e-51a7-9c22-c7ca8fcabedb,2022-01-18
2022-01-19,nyt://article/dde50649-a450-5492-afef-cbe1b2d554f8,2022-01-18
2022-01-19,nyt://article/1205b876-61e9-5f31-921a-1625c4da6166,2022-01-18
2022-01-19,nyt://article/9bdda95b-afd7-5bfe-a5d9-f51acde6c209,2022-01-17
2022-01-19,nyt://article/47b6a5e5-59f7-5e9a-8d40-b00e2882fa71,2022-01-17
2022-01-19,nyt://article/fbfef231-3db8-5035-b053-051a1386a4bc,2022-01-18
2022-01-19,nyt://article/c70f7f14-bf99-53c5-b0b9-b1207890a12e,2022-01-17
2022-01-19,nyt://article/2ff562c3-5739-585d-9ad3-faef214d742d,2022-01-14
2022-01-19,nyt://article/0ce99830-80a2-5f50-90d2-c4752a240ad5,2022-01-14
