date_sourced,uri,date_published
2022-01-25,nyt://article/4cf8c2d7-16eb-5c80-a4d8-4dfd0815e88c,2022-01-24
2022-01-25,nyt://article/6275d842-5c90-560c-9e2a-a42d760dc46a,2022-01-23
2022-01-25,nyt://article/5318f0b0-ad0b-5564-b7cd-d84c668769da,2022-01-24
2022-01-25,nyt://article/82d027fe-fce5-5693-84fc-5cb99fca71a0,2022-01-23
2022-01-25,nyt://article/2b6ff437-d477-53dc-b06e-eacdeec33ad2,2022-01-24
2022-01-25,nyt://article/263ddd56-78df-5aea-ad0b-c46c43471ebf,2022-01-24
2022-01-25,nyt://article/e867aac6-1a0c-5c48-9a2d-98040dd58bb3,2022-01-24
2022-01-25,nyt://article/5f84fcf4-7f63-587b-85cb-0a16364a8503,2022-01-23
2022-01-25,nyt://article/9f7acb51-369e-519f-8644-de5400654eb5,2022-01-24
2022-01-25,nyt://article/43c445ef-a201-56d6-bcce-07dfab901755,2022-01-23
2022-01-25,nyt://article/e61585bc-a61a-555b-8578-a246f073ffb8,2022-01-24
2022-01-25,nyt://article/e493a2e6-8753-5906-a73f-5dfb7c00cb9e,2022-01-24
2022-01-25,nyt://article/a8d7e145-0272-5e44-af2d-f3322deda0c1,2022-01-24
2022-01-25,nyt://article/52d58946-72bd-5127-b715-06457c9529ec,2022-01-23
2022-01-25,nyt://article/85459091-b90f-5047-bacc-ff5eb71d0080,2022-01-24
2022-01-25,nyt://article/624e273f-cddc-5945-988b-f067663ee5dd,2022-01-19
2022-01-25,nyt://article/8d32eac7-1d6f-588e-865e-fd687f2fb009,2022-01-24
2022-01-25,nyt://article/b5ca5041-0a6f-521c-b5fc-a2fd63f2a7af,2022-01-23
2022-01-25,nyt://article/2b73dd59-0772-587c-8c58-f0437f51879c,2022-01-24
2022-01-25,nyt://article/089c2fee-bc94-5a75-9bce-80bd03fb56fa,2022-01-24
