date_sourced,uri,date_published
2022-01-12,nyt://article/a7e37b1f-5900-5e4a-97bf-7c5491e77430,2022-01-11
2022-01-12,nyt://article/9b5ce161-0850-5592-918d-c25496a08afe,2022-01-10
2022-01-12,nyt://article/909189f6-dcf1-5b75-89b8-a91be8e494d6,2022-01-10
2022-01-12,nyt://article/9c68de54-1f52-5e92-9b28-67c728a34429,2022-01-11
2022-01-12,nyt://article/8e22bd8b-eaaf-5f38-a29f-9315e0749266,2022-01-11
2022-01-12,nyt://article/23b8ae74-a0d1-5f09-b503-15255ab559a0,2022-01-11
2022-01-12,nyt://article/8e35ae0e-1d32-552a-a040-0800ed8f21f5,2022-01-10
2022-01-12,nyt://article/960bacd2-8e63-5abc-9fbc-d124e34bb00c,2022-01-09
2022-01-12,nyt://article/d62fda70-8932-53f7-a588-b07a9003ff16,2022-01-11
2022-01-12,nyt://article/88b471d3-4327-52d0-8c2b-8c39eb172ad2,2022-01-10
2022-01-12,nyt://article/2c575c45-8396-506a-8a51-4e36e18b80f1,2022-01-11
2022-01-12,nyt://article/4f2a59ca-9606-5157-860b-4a316786b7d8,2022-01-11
2022-01-12,nyt://article/7f2b9e5f-3a8e-567e-99e9-5eab0357bb3e,2022-01-10
2022-01-12,nyt://article/52071637-5bea-5870-a222-5634605c3db9,2022-01-07
2022-01-12,nyt://article/1999a6d0-8284-5636-8db9-970ee60854f0,2022-01-10
2022-01-12,nyt://article/8401ee1b-25f2-51cc-b388-ad37d759dbf7,2022-01-10
2022-01-12,nyt://article/cf4e845e-9c92-5051-a8cf-4d88c9e04ff4,2022-01-10
2022-01-12,nyt://article/ea6213a7-ccfa-51e1-9b11-c5a25c76b469,2022-01-11
2022-01-12,nyt://article/118ced58-5264-599d-9d1c-3e3141c5e305,2022-01-11
2022-01-12,nyt://article/7a39b5b8-4ab6-5a00-89b7-c4a1fec261b9,2022-01-11
