date_sourced,uri,date_published
2022-01-13,nyt://article/8e22bd8b-eaaf-5f38-a29f-9315e0749266,2022-01-11
2022-01-13,nyt://article/17bd26c5-605b-54fa-912b-851972c4bf12,2022-01-11
2022-01-13,nyt://article/9c68de54-1f52-5e92-9b28-67c728a34429,2022-01-11
2022-01-13,nyt://article/2e51f379-716f-5ead-9491-89f6466e842f,2022-01-12
2022-01-13,nyt://article/c1e77fef-12c0-5bbc-bef1-6022dd1945fe,2022-01-12
2022-01-13,nyt://article/bc46fb78-f30e-57da-af5a-fad79229ccbe,2022-01-12
2022-01-13,nyt://article/ea6213a7-ccfa-51e1-9b11-c5a25c76b469,2022-01-11
2022-01-13,nyt://article/ebd8a50b-56cb-55c4-ad80-8f8a03608ffd,2022-01-12
2022-01-13,nyt://article/98fc76c6-9091-5767-9b57-5b16902593c1,2022-01-12
2022-01-13,nyt://article/c2beef98-d653-5a38-b74f-c6419006d488,2022-01-11
2022-01-13,nyt://article/9b5ce161-0850-5592-918d-c25496a08afe,2022-01-10
2022-01-13,nyt://article/fdb3faaa-ca62-5256-a275-51d128020e96,2022-01-12
2022-01-13,nyt://article/23b8ae74-a0d1-5f09-b503-15255ab559a0,2022-01-11
2022-01-13,nyt://article/45b2400f-81aa-555b-ad20-d54ca034f362,2022-01-10
2022-01-13,nyt://article/0df5712b-19d1-5bf9-979a-8c205b2b8ec1,2022-01-13
2022-01-13,nyt://article/e4921830-6296-5285-8d6c-0196cf7a0e98,2022-01-12
2022-01-13,nyt://article/2c575c45-8396-506a-8a51-4e36e18b80f1,2022-01-11
2022-01-13,nyt://article/a7e37b1f-5900-5e4a-97bf-7c5491e77430,2022-01-11
2022-01-13,nyt://article/723ea9ee-1a4f-5ffe-b536-f0d6c9e8c768,2022-01-11
2022-01-13,nyt://article/0515eb2f-7ef6-55b3-b005-a06fb9bd7879,2022-01-12
